County,Municipality Code,Municipality Name,2015 Population,2045 Population,Annualized % Population Change 2015-2045,2015 Households,2045 Households,Annualized % Household Change 2015-2045,2015 Employment,2045 Employment,Annualized % Employment Change 2015-2045
Bergen,3400300700,Allendale borough,"6,674","7,335",0.3%,"2,262","2,483",0.3%,"2,836","3,064",0.3%
Bergen,3400301090,Alpine borough,"1,849","1,849",0.0%,611,611,0.0%,415,415,0.0%
Bergen,3400305170,Bergenfield borough,"27,181","29,602",0.3%,"8,890","9,682",0.3%,"4,025","4,694",0.5%
Bergen,3400306490,Bogota borough,"8,284","9,397",0.4%,"2,773","3,136",0.4%,"1,015","1,336",0.9%
Bergen,3400310480,Carlstadt borough,"6,224","6,833",0.3%,"2,384","2,607",0.3%,"12,855","13,455",0.2%
Bergen,3400313570,Cliffside Park borough,"23,891","25,675",0.2%,"9,955","10,685",0.2%,"2,804","3,323",0.6%
Bergen,3400313810,Closter borough,"8,533","9,040",0.2%,"2,762","2,943",0.2%,"3,020","5,249",1.9%
Bergen,3400315820,Cresskill borough,"8,795","9,449",0.2%,"3,037","3,258",0.2%,"3,182","3,396",0.2%
Bergen,3400317530,Demarest borough,"4,981","5,497",0.3%,"1,608","1,771",0.3%,896,"1,037",0.5%
Bergen,3400318400,Dumont borough,"17,736","19,148",0.3%,"6,379","6,875",0.2%,"2,089","2,462",0.5%
Bergen,3400319510,East Rutherford borough,"9,105","9,626",0.2%,"3,822","4,065",0.2%,"11,991","24,173",2.4%
Bergen,3400320020,Edgewater borough,"11,944","13,740",0.5%,"5,753","6,577",0.4%,"4,862","5,648",0.5%
Bergen,3400321300,Elmwood Park borough,"19,820","22,087",0.4%,"7,085","7,879",0.4%,"8,985","9,823",0.3%
Bergen,3400321450,Emerson borough,"7,561","8,263",0.3%,"2,500","2,726",0.3%,"2,508","2,729",0.3%
Bergen,3400321480,Englewood city,"27,753","30,631",0.3%,"10,142","11,246",0.3%,"15,193","16,218",0.2%
Bergen,3400321510,Englewood Cliffs borough,"5,366","5,883",0.3%,"1,830","2,000",0.3%,"9,065","9,576",0.2%
Bergen,3400322470,Fair Lawn borough,"33,524","36,933",0.3%,"12,115","13,424",0.3%,"12,344","13,447",0.3%
Bergen,3400322560,Fairview borough,"14,061","15,149",0.2%,"4,868","5,236",0.2%,"2,535","2,829",0.4%
Bergen,3400324420,Fort Lee borough,"39,521","43,747",0.3%,"17,752","20,099",0.4%,"15,545","16,820",0.3%
Bergen,3400324990,Franklin Lakes borough,"10,844","11,853",0.3%,"3,561","4,096",0.5%,"8,165","8,480",0.1%
Bergen,3400325770,Garfield city,"31,258","34,888",0.4%,"11,206","12,641",0.4%,"5,942","6,943",0.5%
Bergen,3400326640,Glen Rock borough,"11,838","13,129",0.3%,"3,944","4,364",0.3%,"2,821","3,208",0.4%
Bergen,3400328680,Hackensack city,"43,768","50,013",0.4%,"18,222","21,288",0.5%,"42,488","45,032",0.2%
Bergen,3400330150,Harrington Park borough,"4,764","5,263",0.3%,"1,604","1,767",0.3%,"1,111","1,344",0.6%
Bergen,3400330420,Hasbrouck Heights borough,"12,055","13,228",0.3%,"4,453","4,875",0.3%,"4,038","4,442",0.3%
Bergen,3400330540,Haworth borough,"3,474","4,025",0.5%,"1,124","1,299",0.5%,823,992,0.6%
Bergen,3400331920,Hillsdale borough,"10,456","11,676",0.4%,"3,525","3,927",0.4%,"2,426","2,796",0.5%
Bergen,3400332310,Ho-Ho-Kus borough,"4,195","4,702",0.4%,"1,421","1,594",0.4%,"1,162","1,334",0.5%
Bergen,3400340020,Leonia borough,"9,118","10,047",0.3%,"3,306","3,635",0.3%,"2,409","2,710",0.4%
Bergen,3400340680,Little Ferry borough,"10,765","11,656",0.3%,"4,245","4,590",0.3%,"2,983","3,287",0.3%
Bergen,3400341100,Lodi borough,"24,553","26,831",0.3%,"9,508","10,365",0.3%,"5,674","6,416",0.4%
Bergen,3400342090,Lyndhurst township,"21,039","23,989",0.4%,"8,415","9,756",0.5%,"11,080","12,004",0.3%
Bergen,3400342750,Mahwah township,"26,358","28,193",0.2%,"9,547","10,320",0.3%,"15,587","19,698",0.8%
Bergen,3400344880,Maywood borough,"9,776","11,170",0.4%,"3,682","4,195",0.4%,"3,090","3,588",0.5%
Bergen,3400346110,Midland Park borough,"7,265","7,885",0.3%,"2,772","3,002",0.3%,"3,754","4,003",0.2%
Bergen,3400347610,Montvale borough,"8,067","8,896",0.3%,"2,816","3,099",0.3%,"11,055","11,543",0.1%
Bergen,3400347700,Moonachie borough,"2,776","3,247",0.5%,"1,016","1,183",0.5%,"5,614","5,903",0.2%
Bergen,3400351660,New Milford borough,"16,644","18,344",0.3%,"6,172","6,771",0.3%,"2,482","2,977",0.6%
Bergen,3400352320,North Arlington borough,"15,626","17,079",0.3%,"6,308","6,879",0.3%,"3,013","3,490",0.5%
Bergen,3400353430,Northvale borough,"4,757","5,224",0.3%,"1,580","1,732",0.3%,"3,816","4,222",0.3%
Bergen,3400353610,Norwood borough,"5,836","6,339",0.3%,"1,943","2,107",0.3%,"1,909","2,066",0.3%
Bergen,3400353850,Oakland borough,"13,037","13,665",0.2%,"4,371","4,625",0.2%,"5,187","5,349",0.1%
Bergen,3400354870,Old Tappan borough,"5,896","6,467",0.3%,"1,953","2,138",0.3%,"1,673","1,846",0.3%
Bergen,3400354990,Oradell borough,"8,106","9,168",0.4%,"2,757","3,109",0.4%,"3,810","4,188",0.3%
Bergen,3400355770,Palisades Park borough,"19,982","21,918",0.3%,"6,987","7,649",0.3%,"3,200","3,747",0.5%
Bergen,3400355950,Paramus borough,"26,956","30,664",0.4%,"8,710","10,047",0.5%,"42,332","44,441",0.2%
Bergen,3400356130,Park Ridge borough,"8,881","9,961",0.4%,"3,326","3,722",0.4%,"3,717","4,117",0.3%
Bergen,3400361680,Ramsey borough,"14,760","16,478",0.4%,"5,396","6,005",0.4%,"10,746","11,485",0.2%
Bergen,3400362910,Ridgefield borough,"11,226","12,393",0.3%,"3,921","4,320",0.3%,"4,932","5,354",0.3%
Bergen,3400362940,Ridgefield Park village,"12,946","17,960",1.1%,"4,869","7,714",1.5%,"3,919","10,210",3.2%
Bergen,3400363000,Ridgewood village,"25,487","28,818",0.4%,"8,516","9,852",0.5%,"12,044","12,845",0.2%
Bergen,3400363360,River Edge borough,"11,566","12,748",0.3%,"4,161","4,581",0.3%,"3,879","4,285",0.3%
Bergen,3400363690,River Vale township,"9,768","10,818",0.3%,"3,436","3,798",0.3%,"2,983","3,332",0.4%
Bergen,3400363990,Rochelle Park township,"5,628","6,116",0.3%,"2,096","2,273",0.3%,"4,788","5,030",0.2%
Bergen,3400364170,Rockleigh borough,548,856,1.5%,76,138,2.0%,"1,622","1,716",0.2%
Bergen,3400365280,Rutherford borough,"18,415","20,496",0.4%,"6,989","7,761",0.3%,"7,173","7,960",0.3%
Bergen,3400365340,Saddle Brook township,"13,952","15,212",0.3%,"5,328","5,799",0.3%,"9,229","9,788",0.2%
Bergen,3400365400,Saddle River borough,"3,259","3,723",0.4%,"1,237","1,413",0.4%,"5,117","5,386",0.2%
Bergen,3400368970,South Hackensack township,"2,493","3,120",0.8%,869,"1,143",0.9%,"6,346","6,691",0.2%
Bergen,3400372360,Teaneck township,"40,492","44,834",0.3%,"13,533","15,313",0.4%,"15,533","16,741",0.3%
Bergen,3400372420,Tenafly borough,"14,701","15,763",0.2%,"4,774","5,109",0.2%,"3,852","4,150",0.2%
Bergen,3400372480,Teterboro borough,70,70,0.0%,25,25,0.0%,"6,629","7,772",0.5%
Bergen,3400375140,Upper Saddle River borough,"8,388","9,048",0.3%,"2,660","2,866",0.2%,"4,449","4,691",0.2%
Bergen,3400376400,Waldwick borough,"9,849","10,992",0.4%,"3,452","3,843",0.4%,"2,798","3,168",0.4%
Bergen,3400376490,Wallington borough,"11,565","13,099",0.4%,"4,668","5,362",0.5%,"2,785","3,107",0.4%
Bergen,3400377135,Washington township,"9,314","10,036",0.2%,"3,292","3,571",0.3%,957,"1,165",0.7%
Bergen,3400380270,Westwood borough,"11,114","12,185",0.3%,"4,462","4,882",0.3%,"3,941","4,339",0.3%
Bergen,3400382300,Woodcliff Lake borough,"5,898","6,559",0.4%,"1,944","2,160",0.4%,"5,797","6,105",0.2%
Bergen,3400382570,Wood-Ridge borough,"9,339","10,884",0.5%,"3,459","4,630",1.0%,"1,919","2,241",0.5%
Bergen,3400383050,Wyckoff township,"17,064","18,891",0.3%,"5,691","6,291",0.3%,"5,449","6,026",0.3%
Essex,3401304695,Belleville township,"35,989","41,246",0.5%,"13,626","16,018",0.5%,"9,360","11,120",0.6%
Essex,3401306260,Bloomfield township,"47,462","55,005",0.5%,"18,704","22,327",0.6%,"12,987","15,935",0.7%
Essex,3401309250,Caldwell borough,"7,834","8,972",0.5%,"3,417","4,009",0.5%,"2,420","2,847",0.5%
Essex,3401311200,Cedar Grove township,"12,442","14,364",0.5%,"4,601","5,440",0.6%,"5,099","5,772",0.4%
Essex,3401313045,City of Orange township,"30,200","34,720",0.5%,"11,395","13,481",0.6%,"7,007","8,776",0.8%
Essex,3401319390,East Orange city,"64,458","71,358",0.3%,"25,385","28,971",0.4%,"15,104","18,084",0.6%
Essex,3401321840,Essex Fells borough,"2,122","2,733",0.8%,741,"1,000",1.0%,280,475,1.8%
Essex,3401322385,Fairfield township,"7,490","8,645",0.5%,"2,691","3,178",0.6%,"23,960","25,148",0.2%
Essex,3401326610,Glen Ridge borough,"7,543","8,589",0.4%,"2,519","2,935",0.5%,"1,098","1,368",0.7%
Essex,3401334450,Irvington township,"54,118","59,045",0.3%,"20,486","22,977",0.4%,"8,945","10,905",0.7%
Essex,3401340890,Livingston township,"29,449","34,385",0.5%,"10,162","12,183",0.6%,"22,575","24,634",0.3%
Essex,3401343800,Maplewood township,"23,925","27,523",0.5%,"8,382","9,951",0.6%,"6,271","7,567",0.6%
Essex,3401346380,Millburn township,"20,195","22,947",0.4%,"6,930","8,100",0.5%,"16,947","18,305",0.3%
Essex,3401347500,Montclair township,"37,788","44,553",0.6%,"15,349","18,688",0.7%,"21,043","24,172",0.5%
Essex,3401351000,Newark city,"282,102","328,809",0.5%,"97,269","118,483",0.7%,"157,852","180,960",0.5%
Essex,3401352620,North Caldwell borough,"6,196","6,612",0.2%,"2,128","2,330",0.3%,306,447,1.3%
Essex,3401353680,Nutley township,"28,439","33,531",0.6%,"11,509","13,972",0.6%,"10,787","15,472",1.2%
Essex,3401364590,Roseland borough,"5,836","6,673",0.4%,"2,385","2,790",0.5%,"12,693","13,399",0.2%
Essex,3401369274,South Orange Village township,"16,245","18,650",0.5%,"5,611","6,686",0.6%,"7,676","8,673",0.4%
Essex,3401375815,Verona township,"13,352","15,373",0.5%,"5,407","6,379",0.6%,"4,486","5,211",0.5%
Essex,3401378510,West Caldwell township,"10,789","12,001",0.4%,"3,980","4,558",0.5%,"10,129","10,870",0.2%
Essex,3401379800,West Orange township,"46,314","53,287",0.5%,"17,079","20,174",0.6%,"15,687","18,193",0.5%
Hudson,3401703580,Bayonne city,"65,606","70,939",0.3%,"26,332","28,639",0.3%,"17,966","22,208",0.7%
Hudson,3401719360,East Newark borough,"2,781","2,993",0.2%,880,954,0.3%,537,740,1.1%
Hudson,3401728650,Guttenberg town,"11,443","12,000",0.2%,"4,592","4,848",0.2%,"1,506","2,061",1.1%
Hudson,3401730210,Harrison town,"15,157","30,165",2.3%,"5,384","12,056",2.7%,"5,784","13,067",2.8%
Hudson,3401732250,Hoboken city,"52,899","55,899",0.2%,"26,571","28,164",0.2%,"23,485","27,076",0.5%
Hudson,3401736000,Jersey City city,"260,335","369,381",1.2%,"102,340","155,876",1.4%,"130,189","160,912",0.7%
Hudson,3401736510,Kearny town,"41,693","44,757",0.2%,"13,869","15,029",0.3%,"15,754","18,717",0.6%
Hudson,3401752470,North Bergen township,"62,374","67,599",0.3%,"22,755","24,777",0.3%,"23,028","26,727",0.5%
Hudson,3401766570,Secaucus town,"18,147","19,910",0.3%,"7,052","7,813",0.3%,"42,859","45,764",0.2%
Hudson,3401774630,Union City city,"68,390","71,954",0.2%,"23,587","24,947",0.2%,"14,050","17,293",0.7%
Hudson,3401777930,Weehawken township,"13,706","14,868",0.3%,"6,264","6,851",0.3%,"8,219","9,596",0.5%
Hudson,3401779610,West New York town,"52,236","55,219",0.2%,"19,834","21,114",0.2%,"9,425","11,891",0.8%
Hunterdon,3401900550,Alexandria township,"4,915","5,325",0.3%,"1,800","2,024",0.4%,991,"1,240",0.7%
Hunterdon,3401905650,Bethlehem township,"3,961","4,029",0.1%,"1,376","1,415",0.1%,"2,385","2,432",0.1%
Hunterdon,3401906370,Bloomsbury borough,867,894,0.1%,345,361,0.2%,418,436,0.1%
Hunterdon,3401909280,Califon borough,"1,074","1,105",0.1%,403,422,0.1%,211,227,0.3%
Hunterdon,3401913720,Clinton town,"2,715","2,819",0.1%,"1,082","1,146",0.2%,"3,066","3,152",0.1%
Hunterdon,3401913750,Clinton township,"13,444","14,093",0.2%,"4,677","5,002",0.2%,"5,061","5,431",0.2%
Hunterdon,3401917170,Delaware township,"4,540","5,202",0.5%,"1,831","2,243",0.7%,750,"1,218",1.6%
Hunterdon,3401918820,East Amwell township,"3,994","4,500",0.4%,"1,554","1,853",0.6%,"1,169","1,512",0.9%
Hunterdon,3401923700,Flemington borough,"4,576","4,692",0.1%,"1,858","1,973",0.2%,"9,069","9,214",0.1%
Hunterdon,3401924870,Franklin township,"3,290","3,774",0.5%,"1,179","1,453",0.7%,"1,544","1,860",0.6%
Hunterdon,3401925350,Frenchtown borough,"1,383","1,426",0.1%,613,642,0.2%,502,531,0.2%
Hunterdon,3401926550,Glen Gardner borough,"1,702","1,735",0.1%,786,811,0.1%,88,104,0.6%
Hunterdon,3401929460,Hampton borough,"1,398","1,435",0.1%,584,607,0.1%,273,293,0.2%
Hunterdon,3401931320,High Bridge borough,"3,674","3,757",0.1%,"1,459","1,511",0.1%,953,998,0.2%
Hunterdon,3401932460,Holland township,"5,272","5,633",0.2%,"2,019","2,224",0.3%,883,"1,106",0.8%
Hunterdon,3401937065,Kingwood township,"3,968","4,728",0.6%,"1,502","1,970",0.9%,982,"1,512",1.4%
Hunterdon,3401938610,Lambertville city,"3,902","3,980",0.1%,"2,005","2,066",0.1%,"1,487","1,541",0.1%
Hunterdon,3401939630,Lebanon borough,"1,550","1,645",0.2%,669,740,0.3%,"1,820","1,900",0.1%
Hunterdon,3401939660,Lebanon township,"6,558","6,558",0.0%,"2,351","2,351",0.0%,"1,429","1,431",0.0%
Hunterdon,3401946260,Milford borough,"1,231","1,272",0.1%,532,559,0.2%,259,285,0.3%
Hunterdon,3401961920,Raritan township,"22,131","23,108",0.1%,"8,249","8,774",0.2%,"9,681","10,287",0.2%
Hunterdon,3401962250,Readington township,"16,461","17,419",0.2%,"6,205","6,910",0.4%,"8,101","10,140",0.8%
Hunterdon,3401970980,Stockton borough,537,561,0.1%,243,259,0.2%,158,175,0.3%
Hunterdon,3401972510,Tewksbury township,"5,966","6,257",0.2%,"2,241","2,401",0.2%,"2,444","2,627",0.2%
Hunterdon,3401974420,Union township,"5,893","6,064",0.1%,"1,794","1,871",0.1%,"1,139","1,216",0.2%
Hunterdon,3401978230,West Amwell township,"2,963","3,419",0.5%,"1,130","1,399",0.7%,966,"1,279",0.9%
Middlesex,3402310750,Carteret borough,"23,358","26,829",0.5%,"7,693","9,024",0.5%,"7,688","8,713",0.4%
Middlesex,3402315550,Cranbury township,"4,037","5,128",0.8%,"1,361","1,811",1.0%,"7,933","10,766",1.0%
Middlesex,3402318490,Dunellen borough,"7,313","8,318",0.4%,"2,566","2,964",0.5%,985,"1,243",0.8%
Middlesex,3402319000,East Brunswick township,"48,057","55,663",0.5%,"16,822","20,015",0.6%,"23,559","26,356",0.4%
Middlesex,3402320230,Edison township,"100,844","115,227",0.4%,"34,981","40,640",0.5%,"72,621","80,046",0.3%
Middlesex,3402330840,Helmetta borough,"2,221","2,610",0.5%,893,"1,136",0.8%,218,245,0.4%
Middlesex,3402331470,Highland Park borough,"14,114","15,905",0.4%,"5,875","6,720",0.4%,"2,591","3,146",0.6%
Middlesex,3402334890,Jamesburg borough,"5,966","6,771",0.4%,"2,172","2,503",0.5%,"3,349","3,647",0.3%
Middlesex,3402345690,Metuchen borough,"13,836","15,117",0.3%,"5,254","5,979",0.4%,"5,838","6,125",0.2%
Middlesex,3402345900,Middlesex borough,"13,763","15,416",0.4%,"4,984","5,750",0.5%,"5,176","5,626",0.3%
Middlesex,3402346620,Milltown borough,"6,947","7,805",0.4%,"2,599","3,088",0.6%,"1,457","1,573",0.3%
Middlesex,3402347280,Monroe township,"42,053","50,332",0.6%,"17,298","20,903",0.6%,"8,869","11,995",1.0%
Middlesex,3402351210,New Brunswick city,"58,159","70,435",0.6%,"14,671","18,536",0.8%,"39,239","42,650",0.3%
Middlesex,3402352560,North Brunswick township,"41,598","50,380",0.6%,"14,697","18,332",0.7%,"23,336","26,487",0.4%
Middlesex,3402354705,Old Bridge township,"66,899","81,135",0.6%,"23,986","30,508",0.8%,"11,495","14,468",0.8%
Middlesex,3402358200,Perth Amboy city,"51,433","57,542",0.4%,"15,420","17,591",0.4%,"13,725","16,007",0.5%
Middlesex,3402359010,Piscataway township,"58,967","66,829",0.4%,"18,109","21,163",0.5%,"38,795","41,590",0.2%
Middlesex,3402359280,Plainsboro township,"23,252","26,140",0.4%,"9,420","10,601",0.4%,"16,079","20,068",0.7%
Middlesex,3402365790,Sayreville borough,"43,273","51,486",0.6%,"15,636","19,288",0.7%,"9,541","15,419",1.6%
Middlesex,3402368550,South Amboy city,"8,775","10,219",0.5%,"3,373","3,998",0.6%,"1,884","2,325",0.7%
Middlesex,3402368790,South Brunswick township,"45,492","56,232",0.7%,"15,527","19,830",0.8%,"23,869","29,587",0.7%
Middlesex,3402369390,South Plainfield borough,"23,736","27,488",0.5%,"7,886","9,430",0.6%,"20,985","22,182",0.2%
Middlesex,3402369420,South River borough,"16,142","18,078",0.4%,"5,652","6,413",0.4%,"2,692","3,187",0.6%
Middlesex,3402369810,Spotswood borough,"8,334","9,435",0.4%,"3,128","3,589",0.5%,"2,172","2,500",0.5%
Middlesex,3402382000,Woodbridge township,"100,696","115,239",0.5%,"34,654","41,008",0.6%,"53,900","60,537",0.4%
Monmouth,3402500070,Aberdeen township,"18,210","19,166",0.2%,"7,004","7,643",0.3%,"3,808","4,345",0.4%
Monmouth,3402500730,Allenhurst borough,500,513,0.1%,221,248,0.4%,205,221,0.3%
Monmouth,3402500760,Allentown borough,"1,827","1,974",0.3%,717,817,0.4%,669,765,0.4%
Monmouth,3402501960,Asbury Park city,"16,127","20,168",0.7%,"6,850","9,565",1.1%,"4,023","5,130",0.8%
Monmouth,3402502110,Atlantic Highlands borough,"4,384","4,625",0.2%,"1,905","2,085",0.3%,"1,402","1,562",0.4%
Monmouth,3402502440,Avon-by-the-Sea borough,"1,901","1,992",0.2%,918,"1,008",0.3%,341,400,0.5%
Monmouth,3402504930,Belmar borough,"5,792","6,173",0.2%,"2,745","3,051",0.4%,"1,308","1,571",0.6%
Monmouth,3402506970,Bradley Beach borough,"4,342","4,550",0.2%,"2,147","2,324",0.3%,761,896,0.5%
Monmouth,3402507750,Brielle borough,"4,773","4,979",0.1%,"1,839","1,976",0.2%,"1,444","1,561",0.3%
Monmouth,3402514560,Colts Neck township,"10,185","11,264",0.3%,"3,338","3,992",0.6%,"2,917","3,540",0.6%
Monmouth,3402516660,Deal borough,754,794,0.2%,339,399,0.5%,559,598,0.2%
Monmouth,3402519840,Eatontown borough,"12,717","14,015",0.3%,"5,418","6,389",0.6%,"16,474","20,004",0.6%
Monmouth,3402521570,Englishtown borough,"1,846","2,027",0.3%,633,742,0.5%,870,980,0.4%
Monmouth,3402522440,Fair Haven borough,"6,120","6,346",0.1%,"2,007","2,133",0.2%,968,"1,063",0.3%
Monmouth,3402522950,Farmingdale borough,"1,329","1,431",0.2%,557,632,0.4%,"1,918","2,015",0.2%
Monmouth,3402525200,Freehold borough,"12,045","12,922",0.2%,"4,081","4,596",0.4%,"3,584","4,066",0.4%
Monmouth,3402525230,Freehold township,"36,234","38,122",0.2%,"12,811","13,923",0.3%,"27,997","29,337",0.2%
Monmouth,3402530690,Hazlet township,"20,329","21,257",0.1%,"7,273","7,841",0.3%,"6,478","6,988",0.3%
Monmouth,3402531500,Highlands borough,"5,004","5,194",0.1%,"2,672","2,834",0.2%,986,"1,097",0.4%
Monmouth,3402532640,Holmdel township,"16,769","17,695",0.2%,"5,690","6,314",0.3%,"11,322","13,960",0.7%
Monmouth,3402533300,Howell township,"51,055","54,036",0.2%,"17,582","19,306",0.3%,"14,340","15,938",0.4%
Monmouth,3402534200,Interlaken borough,825,825,0.0%,368,368,0.0%,39,39,0.0%
Monmouth,3402536480,Keansburg borough,"10,102","10,465",0.1%,"3,876","4,119",0.2%,"1,903","2,082",0.3%
Monmouth,3402536810,Keyport borough,"7,239","7,554",0.1%,"3,124","3,360",0.2%,"2,758","2,966",0.2%
Monmouth,3402537560,Lake Como borough,"1,758","1,852",0.2%,800,887,0.3%,268,341,0.8%
Monmouth,3402540770,Little Silver borough,"5,949","6,188",0.1%,"2,186","2,339",0.2%,"2,358","2,498",0.2%
Monmouth,3402541010,Loch Arbour village,201,211,0.2%,84,103,0.7%,38,53,1.1%
Monmouth,3402541310,Long Branch city,"30,714","32,627",0.2%,"11,972","13,224",0.3%,"10,490","11,647",0.3%
Monmouth,3402542990,Manalapan township,"38,986","40,921",0.2%,"13,510","14,630",0.3%,"10,065","11,050",0.3%
Monmouth,3402543050,Manasquan borough,"5,896","6,248",0.2%,"2,418","2,683",0.3%,"1,548","1,776",0.5%
Monmouth,3402544070,Marlboro township,"40,224","42,071",0.1%,"13,243","14,263",0.2%,"10,420","11,311",0.3%
Monmouth,3402544520,Matawan borough,"8,808","9,225",0.2%,"3,421","3,698",0.3%,"4,074","4,343",0.2%
Monmouth,3402545990,Middletown township,"66,559","69,809",0.2%,"24,409","26,472",0.3%,"21,336","23,195",0.3%
